Verkiezing;;Gemeenteraad Coevorden 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Coevorden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0109;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeente locatie Aleida Kramersingel;Theater Hofpoort@De Fabriek;De Swanenburg Sporthal;Zaal de Loo;BSV Tuindorp;BSV De Binnenvree;Drostenhal;Ravelijn Verbindt;Dorpshuis de Schalm;MFC Het Spectrum;MFC De Spinde;Dorpshuis Boerhoorn;Restaurant Cornelis;Dorpshuis De Kom;Dorpshuis De Hesselerhof;Het Pluspunt;De Tiphof;MFC De Brink;Restaurant Wielens;Dorpshuis Schoonoord;Dorpshuis De Kiel;'d Aol Schoelstee;Pizza & Pasta Bar;Grandcafé & Hotel LiBo;Brasserie Tramlokaal;Gemeente locatie Aleida Kramersingel;MFC De Spinde;Grandcaé LiBo Aalden;Gemeente locatie Aleida Kramersingel;MFC De Brink;Dorpshuis De Hesselerhof;Mobiel Stembureau 1;Mobiel Stembureau 2
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33
Postcode;;;;;7741 GE;7741 HB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;opgeroepenen;;;28963;1252;1142;1259;1947;1342;1602;2314;968;778;730;1575;578;1543;294;1560;783;1177;1913;712;1762;345;348;848;1843;348;0;0;0;0;0;0;0;0
;geldige stempas;;;13348;702;382;537;763;117;72;825;181;387;325;1090;270;315;159;648;408;421;920;404;690;189;162;345;882;250;312;190;169;481;301;241;98;112
;geldig volmachtbewijs;;;1663;87;38;82;85;13;9;104;16;52;46;139;44;46;23;81;47;63;95;62;83;23;25;37;126;24;39;17;20;65;39;28;1;4
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;15011;789;420;619;848;130;81;929;197;439;371;1229;314;361;182;729;455;484;1015;466;773;212;187;382;1008;274;351;207;189;546;340;269;99;116
;geldige stembiljetten;;;14956;783;418;617;846;129;81;924;197;437;369;1227;314;358;183;726;454;482;1013;466;771;212;186;376;1006;273;350;206;189;543;338;268;99;115
;blanco stembiljetten;;;35;2;2;1;1;1;0;3;0;2;2;1;0;1;0;0;0;1;1;0;2;0;1;6;2;1;1;0;0;1;2;1;0;0
;ongeldige stembiljetten;;;21;4;0;1;1;0;0;2;0;0;0;1;0;2;0;3;1;1;1;0;0;0;0;0;0;0;0;1;0;2;0;0;0;1
;aangetroffen stembiljetten;;;15012;789;420;619;848;130;81;929;197;439;371;1229;314;361;183;729;455;484;1015;466;773;212;187;382;1008;274;351;207;189;546;340;269;99;116
;meer stembiljetten dan toegelaten kiezers;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Belangen Buitengebied Coevorden;;;5920;153;58;105;182;21;12;187;46;279;207;600;168;179;79;338;152;287;409;176;486;121;100;165;629;160;44;78;120;91;122;113;39;14
;;1;Mulder, H;1372;27;12;34;48;6;4;43;12;41;20;58;34;26;23;46;37;60;61;42;370;83;34;41;74;17;11;9;17;23;31;19;7;2
;;2;Stegen, S.;224;6;3;5;7;0;2;11;0;4;0;14;7;2;4;11;6;4;18;8;50;11;9;6;8;3;3;4;4;6;4;3;0;1
;;3;Meppelink-de Jager, S.;909;23;13;17;30;3;0;37;4;24;10;291;27;78;27;35;28;18;36;18;15;8;6;29;28;8;5;37;12;15;10;13;4;0
;;4;Holties, H.;538;5;0;4;1;0;0;9;0;13;2;13;6;3;8;198;46;6;27;9;10;3;10;12;44;18;2;2;10;3;2;61;9;2
;;5;Hooge, J.;685;3;0;2;2;0;0;1;2;0;2;5;1;3;2;23;9;3;8;5;8;0;28;1;415;59;0;1;66;1;10;8;17;0
;;6;Stern-du Chatinier, M.H.;199;4;1;1;4;0;0;1;0;2;3;7;0;0;0;3;5;0;24;59;23;15;3;5;13;3;1;1;3;1;12;3;1;1
;;7;Kamps, J.;245;0;1;0;1;0;0;0;0;0;0;2;1;1;1;0;0;3;163;19;0;0;0;8;2;1;0;0;0;0;40;2;0;0
;;8;Tempels, J.;120;8;0;0;8;0;0;6;0;1;2;6;74;1;0;0;1;0;1;2;0;0;0;1;0;0;1;2;0;3;2;0;0;1
;;9;Nijenbanning, T.;308;0;1;4;9;0;1;4;0;11;0;142;9;44;6;4;10;1;4;0;1;0;5;3;18;1;1;18;4;4;1;1;1;0
;;10;Soppe, A.F.;384;39;12;14;38;11;3;43;15;145;8;11;4;4;1;1;2;1;2;0;0;0;0;0;0;0;7;1;0;16;1;0;0;5
;;11;Vinke, H.T.;89;12;12;11;12;0;0;18;5;2;2;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;5;0;0;7;0;0;0;0
;;12;Platvoet, A.A.;59;6;1;6;8;0;0;8;3;3;0;6;0;7;0;0;0;3;0;0;0;0;0;1;0;0;2;3;0;1;1;0;0;0
;;13;Roosken, H.J.;57;0;0;0;1;0;0;1;0;1;0;39;0;5;5;0;0;0;2;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0
;;14;Boxem, E.;70;3;0;1;2;0;0;1;0;0;0;1;0;1;1;2;0;1;39;6;1;0;0;3;0;1;0;0;2;1;2;0;0;2
;;15;Drijfholt, A.;118;1;0;0;3;0;0;1;0;2;0;2;4;0;1;6;0;1;16;7;5;1;2;54;2;0;0;0;0;3;6;1;0;0
;;16;Wering, J.H.M.;240;15;1;5;8;1;2;3;4;30;156;1;1;2;0;0;2;0;0;0;0;0;0;0;0;0;6;0;0;3;0;0;0;0
;;17;Ubels, O.;93;0;0;1;0;0;0;0;0;0;0;0;0;1;0;5;3;0;4;1;1;0;2;0;24;48;0;0;2;0;0;1;0;0
;;18;Meijer, D.;210;1;1;0;0;0;0;0;1;0;2;2;0;0;0;4;3;186;4;0;1;0;0;0;1;0;0;0;0;3;0;1;0;0
2;VVD;;;2172;171;85;127;113;12;13;173;21;36;7;221;38;66;45;139;65;36;133;70;52;11;22;40;109;27;78;44;16;87;35;53;16;11
;;1;Vulto, FLP;570;68;27;29;54;5;6;53;7;16;2;40;9;14;3;10;11;20;32;14;17;4;6;2;15;6;25;18;3;32;12;6;1;3
;;2;Albring, BK;279;15;5;5;2;0;1;2;2;3;1;31;4;6;11;67;18;2;11;13;4;0;4;11;8;7;3;2;1;3;7;20;8;2
;;3;ter Waarbeek, LDJ;172;6;4;9;8;0;1;5;0;0;0;31;3;3;5;14;23;5;6;1;7;1;1;4;3;3;5;1;1;10;3;8;1;0
;;4;Bonkes, E;96;12;17;14;8;1;1;12;0;1;1;3;3;2;0;0;1;0;0;0;0;0;0;0;0;0;9;0;0;6;0;2;0;3
;;5;Zwiers, J;371;14;5;8;7;1;2;13;1;9;1;48;9;23;13;22;2;2;19;10;14;1;7;7;68;8;13;12;10;5;3;8;4;2
;;6;Weggemans, FH;60;0;1;0;2;0;0;2;0;0;0;4;0;2;0;0;0;0;27;8;0;0;0;5;1;2;0;1;1;0;4;0;0;0
;;7;Brinckman-van Gerven, AM;48;3;0;1;1;0;0;0;0;0;0;25;0;5;0;0;0;2;0;1;0;0;1;0;4;0;0;5;0;0;0;0;0;0
;;8;Talens, AE;172;28;16;25;9;3;1;33;4;6;0;6;0;1;0;0;4;0;2;0;0;0;0;0;1;0;15;1;0;17;0;0;0;0
;;9;Rijtema, PF;16;1;0;0;0;0;0;0;0;0;0;0;1;0;9;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;3;0;0
;;10;Ankone, WLJ;149;16;5;33;11;2;0;48;5;1;2;5;3;4;1;0;1;0;0;0;0;0;0;0;0;0;5;0;0;7;0;0;0;0
;;11;Lugies, H;49;0;0;0;3;0;0;0;0;0;0;0;1;1;2;18;1;1;3;1;0;0;0;0;6;0;0;3;0;1;2;5;1;0
;;12;Oudeboon, ASA;49;0;3;2;0;0;0;0;0;0;0;1;2;1;0;3;0;0;23;3;2;0;0;6;1;0;0;0;0;0;2;0;0;0
;;13;Evenhuis, G;49;0;0;0;1;0;0;0;0;0;0;2;0;0;0;3;4;4;5;9;7;5;3;4;1;0;0;0;0;0;1;0;0;0
;;14;Bouwhuis, B;15;3;2;0;1;0;1;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
;;15;Sieben, AH;61;5;0;1;6;0;0;2;2;0;0;21;3;4;1;2;0;0;2;1;0;0;0;0;1;0;3;1;0;4;0;1;1;0
;;16;Fissering-de Vries, ME;16;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;9;1;0;0;0;0;0;0;0;0;0;1;0;0;1
3;CDA;;;2162;114;88;115;118;14;6;119;24;47;40;94;30;26;16;83;123;70;246;107;66;16;10;91;91;25;56;26;17;92;90;31;23;48
;;1;Huizing, J.;1006;75;46;53;59;8;4;54;7;21;14;72;9;15;6;48;48;38;72;32;21;6;6;22;42;16;34;18;11;57;22;21;18;31
