Verkiezing;;Gemeenteraad Meerssen 2022;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Meerssen;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0938;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Bestuurscentrum (KCC);Gemeenschapshuis De Stip;Gymzaal Meerssen West;Gemeenschapshuis de Koel;Gymzaal de Koprol;Tennis Padel  Club Bunde;Zalencentrum De Auw Kerk;Ut Gäöls Heukske;Gymzaal Moorveld;Gemeenschapshuis D'n Huppel;Gymzaal 't Uulke;Bestuurscentrum KCC;Bestuurscentrum (KCC);Zalencentrum De Auw Kerk;Zalencentrum De Auw Kerk;Gemeenschapshuis d'n Huppel;Gemeenschapshuis d'n Huppel;Ut Gäöls Heukske;Ut Gäöls Heukske;Mobiel stembureau;Mobiel stembureau
Gebiednummer;;;;;1;3;4;6;11;12;14;16;18;21;23;30;31;40;41;50;51;60;61;70;71
Postcode;;;;;6231 LS;6231 HG;6231 HK;6231 BP;6241 BB;6241 EK;6241 CR;6243 BM;6237 NP;6235 AC;6235 BM;6231 LS;6231 LS;6241 CR;6241 CR;6231 AC;6231 AC;6243 BM;6243 BM;;
;opgeroepenen;;;15488;1586;1549;1587;1437;1972;1052;1544;1235;1205;1193;1128;0;0;0;0;0;0;0;0;0;0
;geldige stempas;;;7429;565;675;325;630;555;417;646;377;397;396;438;288;411;279;380;135;160;113;167;32;43
;geldig volmachtbewijs;;;1097;88;104;54;96;66;65;89;60;60;64;59;43;65;38;51;26;30;12;24;3;0
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;8526;653;779;379;726;621;482;735;437;457;460;497;331;476;317;431;161;190;125;191;35;43
;geldige stembiljetten;;;8421;642;761;375;713;616;477;725;433;449;459;488;327;469;317;429;160;188;125;191;34;43
;blanco stembiljetten;;;79;9;18;3;8;3;2;10;3;3;0;8;1;7;0;2;0;2;0;0;0;0
;ongeldige stembiljetten;;;24;2;0;1;5;2;3;0;1;5;0;1;3;0;0;0;0;0;0;0;1;0
;aangetroffen stembiljetten;;;8524;653;779;379;726;621;482;735;437;457;459;497;331;476;317;431;160;190;125;191;35;43
;meer stembiljetten dan toegelaten kiezers;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;BRUG-M;;;2598;229;199;93;106;197;193;223;83;112;196;175;137;187;96;140;65;61;41;52;9;4
;;1;Gulikers, J.J.M.;931;107;63;40;27;62;78;77;35;47;52;61;50;64;38;54;11;17;21;20;4;3
;;2;Gorissen, H.M.M.;457;33;68;17;19;32;32;30;14;11;25;40;24;32;8;22;24;11;9;5;1;0
;;3;Arntz, J.A.M.;256;5;5;1;3;50;31;60;10;1;10;1;7;10;22;36;1;0;2;1;0;0
;;4;van der Bijl, G.;306;49;26;8;9;16;20;27;4;6;7;18;22;41;14;14;14;4;1;6;0;0
;;5;Gerards, R.W.M.;71;4;5;0;35;6;2;2;1;0;0;1;4;5;1;2;0;0;0;3;0;0
;;6;Lam, F.M.;52;6;8;14;1;0;1;2;1;3;3;0;4;5;2;0;0;0;0;0;2;0
;;7;van Geel-Laven, A.M.;75;7;4;3;5;3;3;4;3;18;2;1;10;5;1;3;0;0;0;2;1;0
;;8;Lucassen, M.F.G.;145;3;4;2;1;3;5;10;1;2;66;24;3;0;0;1;3;16;0;1;0;0
;;9;Nicolaes, H.C.M.;75;1;1;0;1;4;2;3;13;22;3;1;1;0;1;0;1;0;7;12;1;1
;;10;Cleophas, L.H.L.;37;0;1;2;0;1;0;0;0;1;18;4;0;0;0;0;6;4;0;0;0;0
;;11;Vroom, N.C.S.;55;8;3;2;2;3;4;1;0;0;2;2;9;13;2;3;0;0;1;0;0;0
;;12;Beulen, F.L.M.;45;4;5;3;1;8;4;3;1;0;3;2;3;7;1;0;0;0;0;0;0;0
;;13;Schats, M.A.M;34;0;2;0;1;8;8;4;0;0;0;1;0;2;3;4;0;0;0;1;0;0
;;14;Schatteman, D.J.;59;2;4;1;1;1;3;0;0;1;5;19;0;3;3;1;5;9;0;1;0;0
2;Lokaal DNA;;;3281;186;383;191;482;207;107;253;176;136;132;201;134;173;101;154;51;81;46;61;14;12
;;1;Molling, B.P.J.;796;85;195;91;21;23;21;28;8;16;16;36;82;90;18;21;11;20;2;4;6;2
;;2;Dolmans, H.E.G.M.;599;30;37;14;409;13;8;22;1;1;9;1;3;23;12;12;0;0;0;0;1;3
;;3;Hendriks, B.F.M.;317;0;3;3;0;0;2;4;0;1;92;131;0;0;1;0;30;47;2;0;0;1
;;4;Ummels, H.J.M.;397;3;1;3;4;80;35;108;5;7;2;2;1;7;53;75;2;3;0;4;2;0
;;5;Smeets, I.E.G.;389;10;11;10;3;17;15;20;138;57;1;7;3;6;3;6;0;4;35;40;2;1
;;6;Ramakers, N.H.H.;133;12;51;14;6;5;0;4;1;0;2;5;6;17;2;2;1;0;2;1;2;0
;;7;Schrouff, S.J.W.;137;3;12;3;3;37;13;26;0;4;3;0;10;4;6;12;0;1;0;0;0;0
;;8;Scheepers, A.H.;38;11;7;3;1;0;1;4;0;1;0;0;4;1;1;0;1;0;0;0;0;3
;;9;Bamohamed, H.;40;7;8;8;2;0;0;0;0;1;0;0;1;9;2;1;1;0;0;0;0;0
;;10;Habets, M.K.J.J.;104;10;27;33;5;1;2;2;0;0;0;7;13;3;0;1;0;0;0;0;0;0
