Verkiezing;;Gemeenteraad Dinkelland 2022;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Dinkelland;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1774;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis Dinkelland;Stichting Kulturhus Denekamp;Brandweerkazerne;Kulturhus De Mare;Gasterij de Smid;Kulturhus Tilligte Terra Nova;Cafe Groot Agelo;Café Restaurant van Olffen;Gemeenschapscentrum 't Trefpunt;Dancing Bruins;Kulturhus Rabo-de CoCeR;Café Pelle's Deurningen;Gasterij Oatmössche Ootmarsum;Brede School de Bres;Mobiel stembureau;Gemeentehuis Dinkelland;Gemeentehuis Dinkelland;Café Restaurant van Olffen;Café Restaurant van Olffen;Gasterij Oatmössche Ootmarsum;Gasterij Oatmössche Ootmarsum
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21
Postcode;;;;;7591 MA;7591 GA;7591 BH;7591 PC;7635 NC;7634 PL;7636 RL;7595 AR;7595 XB;7597 LR;7596 KM;7561 AB;7631 EA;7631 GR;;7591 MA;7591 MA;7595 AR;7595 AR;7631 EA;7631 EA
;opgeroepenen;;;21699;1810;1872;1699;918;877;737;808;1266;1222;1361;1943;1581;1849;1934;0;911;911;0;0;0;0
;geldige stempas;;;11284;1581;327;734;370;442;421;305;312;674;671;1045;755;605;1024;111;338;656;137;230;178;368
;geldig volmachtbewijs;;;1597;198;51;89;58;85;65;67;49;82;149;161;108;84;139;11;33;50;18;37;27;36
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;12881;1779;378;823;428;527;486;372;361;756;820;1206;863;689;1163;122;371;706;155;267;205;404
;geldige stembiljetten;;;12832;1772;373;821;428;518;484;371;359;754;818;1203;863;688;1160;122;369;704;155;264;205;401
;blanco stembiljetten;;;29;3;2;1;0;9;1;0;0;1;2;0;0;1;1;0;2;2;0;2;0;2
;ongeldige stembiljetten;;;20;3;3;1;0;0;1;0;2;1;2;3;0;0;2;0;0;0;0;1;0;1
;aangetroffen stembiljetten;;;12881;1778;378;823;428;527;486;371;361;756;822;1206;863;689;1163;122;371;706;155;267;205;404
;meer stembiljetten dan toegelaten kiezers;;;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;CDA;;;4372;343;74;163;87;136;233;137;125;240;537;591;542;161;376;80;92;139;48;106;56;106
;;1;Smellink, MHJ;1477;106;21;51;33;37;105;63;25;40;49;560;54;45;83;35;35;44;15;25;17;34
;;2;van der Zanden e/v Klunder, EHG;122;29;8;21;4;0;1;1;0;2;2;3;8;6;3;2;9;15;1;3;1;3
