Verkiezing;;Gemeenteraad Koggenland 2022;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Koggenland;;;;;;;;;;;;;;;;;;;;;
Nummer;;1598;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis de Goorn;de Mantel;de Ridder;de Batter;Dorpshuis Zuidermeer;Kwiek '78;Meerzicht Scharwoude;NH Kerk Oudendijk;de Koggenhal;'t Tuinhuis;vv Victoria O;Oude School Hensbroek;Dynamo Ursem;de Brink Obdam;de Berk;Gemeentehuis de Goorn maandag;de Brink maandag;Gemeentehuis de Goorn dinsdag;de Brink dinsdag
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
Postcode;;;;;1648 JG;1641 LZ;1647 ME;1645 PN;1652 CV;1633 HE;1634 EE;1631 DE;1648 JM;1713 HW;1713 HE;1711 RK;1645 SG;1713 HE;1647 CB;;;;
;opgeroepenen;;;18487;1673;1287;938;1034;507;1642;601;561;2015;1469;1554;1262;1360;1671;913;0;0;0;0
;geldige stempas;;;9137;950;555;584;599;279;524;271;252;352;407;235;612;495;1000;368;394;256;541;463
;geldig volmachtbewijs;;;981;117;73;64;82;37;62;27;20;37;40;34;47;61;95;35;38;24;62;26
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;10118;1067;628;648;681;316;586;298;272;389;447;269;659;556;1095;403;432;280;603;489
;geldige stembiljetten;;;10025;1056;625;641;666;316;568;297;267;385;442;269;654;550;1089;402;429;280;602;487
;blanco stembiljetten;;;55;4;2;6;6;0;13;1;5;4;3;0;1;4;2;1;2;0;1;0
;ongeldige stembiljetten;;;38;7;1;0;10;0;5;0;0;0;2;0;4;2;4;0;1;0;0;2
;aangetroffen stembiljetten;;;10118;1067;628;647;682;316;586;298;272;389;447;269;659;556;1095;403;432;280;603;489
;meer stembiljetten dan toegelaten kiezers;;;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;VVD;;;3171;386;230;237;205;129;208;97;117;137;105;68;161;189;281;112;129;73;199;108
;;1;van Dolder, A R;1433;160;127;81;115;86;78;19;30;48;47;23;108;113;140;43;48;36;83;48
;;2;Krijnen, B H;170;26;23;57;2;2;9;0;0;8;3;0;4;0;2;16;9;0;9;0
;;3;Linnekamp, R M;93;7;0;26;0;1;4;7;6;6;1;0;0;0;1;25;3;1;4;1
;;4;Baltus, R A V M;76;19;2;1;2;3;4;3;1;16;0;2;0;1;2;0;4;0;15;1
;;5;Meijn, S;50;4;1;1;0;0;4;0;16;0;1;0;2;1;0;0;0;0;0;20
;;6;van der Noordaa, J;88;0;1;0;0;0;0;0;0;0;15;13;1;0;48;1;0;9;0;0
;;7;Kuijper, T E;192;13;7;0;75;2;5;0;1;4;0;0;3;61;7;0;5;2;7;0
;;8;Wemer, P A;126;28;5;5;0;0;38;2;3;14;0;0;0;1;0;2;8;0;20;0
;;9;Stroomer, J J;21;1;1;1;2;0;0;0;0;0;0;0;1;1;1;1;7;0;5;0
;;10;Van Dijk, R W A H;19;1;0;0;0;0;13;0;0;1;0;0;0;0;0;0;2;0;2;0
;;11;Schilder, J W;71;25;2;11;1;0;8;1;0;4;0;1;0;1;3;2;5;0;7;0
;;12;Bakker, P J M;158;1;0;1;0;0;0;0;0;0;23;22;2;0;61;0;0;21;0;27
;;13;Feld, Y E M;109;26;45;3;2;1;5;0;0;8;0;1;1;0;3;1;6;0;7;0
;;14;Ursem, T T P;24;1;8;0;0;0;1;0;0;0;6;2;0;1;2;0;0;1;2;0
;;15;Fakkeldij, W A J;20;1;0;5;0;0;0;0;0;1;0;0;1;0;0;10;2;0;0;0
;;16;van Diepen, C.E.P.;37;10;0;0;0;0;2;0;3;6;0;0;0;0;1;0;6;0;9;0
;;17;Davidse-Oudhuis, K A M;23;3;0;2;0;0;7;0;0;2;0;0;2;0;0;0;1;0;6;0
;;18;Weijers, B T S;34;0;2;1;0;29;0;0;1;0;0;0;0;0;1;0;0;0;0;0
;;19;Burggraaf, E;30;4;0;0;0;0;17;2;0;1;0;0;0;0;0;0;3;0;3;0
;;20;van der Heide, W J;76;14;0;2;0;1;7;4;28;4;0;0;2;0;0;0;8;0;2;4
;;21;Dol, A E J;56;4;0;34;0;0;0;0;4;1;0;0;0;0;1;9;0;0;3;0
;;22;Pomstra, R M M M;17;4;0;0;0;0;2;2;4;0;0;0;1;0;1;0;0;0;3;0
;;23;Helder, A;5;0;0;1;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;24;Bolluijt, M;43;0;0;0;0;0;0;39;1;0;0;0;0;0;0;0;2;0;1;0
;;25;Schuijtemaker, L;37;3;0;2;0;0;0;10;13;2;0;0;2;2;0;0;2;0;1;0
;;26;Bouwens, A P;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Kalverboer, J J;11;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0
;;28;Frerichs, J A;16;7;1;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;5;0
;;29;van Katwijk, S A J;12;3;0;0;0;0;1;0;0;2;0;0;0;0;0;0;3;0;3;0
;;30;Olij, R J N;35;16;0;0;0;0;1;0;1;8;3;0;0;0;0;1;3;0;2;0
;;31;Stam, M N;30;0;5;1;0;1;0;0;0;0;6;3;1;2;4;0;0;2;0;5
;;32;Zaalberg, G D J;6;0;0;0;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;33;Dekker, C W;28;1;0;0;0;0;0;0;0;0;0;1;19;1;2;0;2;1;0;1
;;34;Bierman, K J;25;4;0;2;1;0;0;8;5;0;0;0;0;3;1;0;0;0;0;1
2;CDA;;;2320;195;124;94;261;79;113;26;20;76;109;46;169;225;290;43;101;69;140;140
;;1;Nooij, R;929;54;55;33;190;18;37;12;4;33;31;9;42;178;70;17;38;20;49;39
;;2;Bijman, W.P.J.;298;38;4;10;1;7;5;6;0;4;27;9;11;1;70;8;21;19;23;34
;;3;te Winkel-Pancras, M.A.C.;201;11;4;9;1;3;4;2;0;4;18;7;36;1;56;3;2;12;7;21
;;4;Ursem, J.P.A.J.;141;1;1;1;2;0;1;0;0;1;20;16;2;4;58;0;1;10;1;22
;;5;Bijman, N.C.J.;53;1;7;0;1;0;1;1;0;16;3;1;1;0;9;1;1;2;1;7
;;6;Dekker, E.F.;130;44;2;5;1;0;26;1;1;0;0;0;0;2;0;3;19;0;25;1
