Verkiezing;;Gemeenteraad Brummen 2022;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Brummen;;;;;;;;;;;;;;;;;;;;;
Nummer;;0213;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Wagenloods van het Gemeentehuis;Stembureau Concordia;Stembureau De Bronckhorsthoeve;Stembureau tent op speelveld nabij Schaepmanstraat;Stembureau Het Buurthuis Leuvenheim;Stembureau Kantoorpand 'Onder de Linden' Oeken;Stembureau Buurtcentrum Oortveld, Empe;Stembureau Gemeenschapshuis De Wheme, Hall;Stembureau Tjark Riks Centrum;Stembureau Bibliotheek Eerbeek;Stembureau Cultuurhuis Pater Dekker (groot);Stembureau Servicepunt Eerbeek;Stembureau Sportcafe De Bhoele;Stembureau Cultuurhuis Pater Dekker (klein);Stembureau Personal Sports Brummen;Stembureau Stembureau De Wagenloods (maandag);Stembureau stembureau De Wagenloods (dinsdag);Stembureau Bibliotheek Eerbeek (maandag);Stembureau bibliotheek Eerbeek (dinsdag)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
Postcode;;;;;6971 BV;6971 BT;6971 JA;;6974 AH;;;6964 AA;6961 DZ;6961 EA;6961 XL;6961 CW;6961 AB;6961 XB;;;;;
;opgeroepenen;;;17397;1580;1326;1402;1118;568;467;736;811;1517;1498;925;1505;1844;986;1114;0;0;0;0
;geldige stempas;;;7728;370;853;447;583;330;256;360;406;463;395;311;403;705;316;330;217;322;255;406
;geldig volmachtbewijs;;;801;31;70;42;54;31;28;42;58;49;42;27;45;84;32;23;31;39;28;45
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;8529;401;923;489;637;361;284;402;464;512;437;338;448;789;348;353;248;361;283;451
;geldige stembiljetten;;;8451;397;908;481;631;360;283;400;462;510;434;334;444;787;346;346;247;354;279;448
;blanco stembiljetten;;;45;2;8;5;0;1;1;0;2;2;2;3;4;1;1;5;1;4;3;0
;ongeldige stembiljetten;;;32;2;6;3;5;0;0;2;0;0;1;1;0;1;1;2;0;4;1;3
;aangetroffen stembiljetten;;;8528;401;922;489;636;361;284;402;464;512;437;338;448;789;348;353;248;362;283;451
;meer stembiljetten dan toegelaten kiezers;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;minder stembiljetten dan toegelaten kiezers;;;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;Lokaal Belang;;;2110;88;231;130;170;78;43;112;151;128;102;99;136;235;93;98;38;60;44;74
;;1;Tuiten, L.;683;40;79;52;70;33;12;28;21;37;26;35;40;62;33;50;14;22;10;19
;;2;Voskamp - Zegers, S.;671;5;17;22;20;14;12;69;54;49;46;47;59;126;42;12;7;8;26;36
;;3;Mennink, M.A.;373;25;86;34;40;10;11;2;19;25;17;9;10;25;8;16;6;15;5;10
;;4;Veldkamp, J.;88;5;14;10;18;7;4;3;3;2;0;0;4;0;2;11;1;3;0;1
;;5;Mennink - Willems, S.H.;80;2;22;9;11;4;1;4;1;0;4;1;1;7;0;3;5;2;0;3
;;6;van Zutphen, M.W.;26;2;7;1;6;2;1;2;0;1;1;0;2;0;0;0;0;1;0;0
;;7;Wartena, G.M.;189;9;6;2;5;8;2;4;53;14;8;7;20;15;8;6;5;9;3;5
2;VVD;;;1621;74;171;78;83;65;73;99;70;110;83;61;67;152;60;80;52;66;81;96
;;1;Steinweg, P.J.Q.;707;30;58;27;30;26;33;73;40;56;41;28;27;58;25;20;15;26;40;54
;;2;Noordstar, N.A.;112;9;22;8;9;1;3;3;3;6;1;3;3;8;1;13;7;8;2;2
;;3;Wijnhoven-Kleihorst, C.J.;148;6;20;14;8;8;3;8;7;10;4;3;2;12;5;14;9;7;6;2
;;4;Teunissen, B.J.;149;7;44;9;20;6;6;5;0;2;3;1;0;3;2;15;5;12;5;4
;;5;Jolink, G.H.;103;7;7;8;6;3;17;6;9;3;0;1;1;8;2;9;5;5;2;4
;;6;Elbers, J.A.C.M.;138;11;13;6;4;19;4;3;2;10;9;4;4;10;4;9;10;7;8;1
;;7;Overbeek Bloem, B.;120;0;0;0;0;0;0;0;4;16;14;10;13;27;12;0;1;0;9;14
